"NONE Tag","Requirement text","Name","Unique ID","Location","Package","Author","Revision","Date","Reason","Traced-from","Traced-to","RootTag#"
"NONE3.3","社区部分使用时需要接入网络，断开网络会导致社区部分无法正常使用","社区部分使用网络","67","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:05","Requirement created.
NAME: <no entry> - 社区部分使用网络.
REQTEXT: 社区部分使用时需要接入网络，断开网络会导致社区部分无法正常使用","","","3"
"NONE4","","可维护性与可扩展性需求","68","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:06","Requirement created.
NAME: <no entry> - 可维护性与可扩展性需求.
REQTEXT: <no entry>","","","4"
"NONE4.1","系统松散耦合，有完整的文档，易于维护
","易于维护","69","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:06","Requirement created.
NAME: <no entry> - 易于维护.
REQTEXT: 系统松散耦合，有完整的文档，易于维护
","","","4"
"NONE5","","可用性需求","70","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:06","Requirement created.
NAME: <no entry> - 可用性需求.
REQTEXT: <no entry>","","","5"
"NONE5.1","软件一次响应的平均时间为2s，最大不超过5s
","响应时间","71","Database","Nonfunctional requirements","lzs","1.0001","2021-6-1 16:07","Reparented. Tag was changed from NONE6 to NONE5.1.","","","5"
"NONE5.2","应用程序中所有操作均通过触摸屏幕完成，具有操作友好性
","操作友好","72","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:10","Requirement created.
NAME: <no entry> - 操作友好.
REQTEXT: 应用程序中所有操作均通过触摸屏幕完成，具有操作友好性
","","","5"
"NONE5.3","保存注册用户2k人，并发用户为200人
","用户量并发量","73","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:10","Requirement created.
NAME: <no entry> - 用户量并发量.
REQTEXT: 保存注册用户2k人，并发用户为200人
","","","5"
"NONE7","","安全性需求","74","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:13","Requirement created.
NAME: <no entry> - 安全性需求.
REQTEXT: <no entry>","","","7"
"NONE7.1","一些危害性较大的操作有提示
","危害性操作提示","75","Database","Nonfunctional requirements","lzs","1.0001","2021-6-1 16:14","Reparented. Tag was changed from NONE8 to NONE7.1.","","","7"
"NONE7.2","实名认证信息不会储存在后台
","信息保护","76","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:14","Requirement created.
NAME: <no entry> - 信息保护.
REQTEXT: 实名认证信息不会储存在后台
","","","7"
"NONE7.3","游客，团购参与者，团购发起者有权限界限
","用户权限隔离","77","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:15","Requirement created.
NAME: <no entry> - 用户权限隔离.
REQTEXT: 游客，团购参与者，团购发起者有权限界限
","","","7"
"NONE9","","易用性需求","78","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:16","Requirement created.
NAME: <no entry> - 易用性需求.
REQTEXT: <no entry>","","","9"
"NONE9.1","图标使用常用图标，基本选择RP默认图标库，部分图标使用阿里图标库中图标，基本图标旁都有文字介绍，清晰易懂。
","常用图标","79","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:16","Requirement created.
NAME: <no entry> - 常用图标.
REQTEXT: 图标使用常用图标，基本选择RP默认图标库，部分图标使用阿里图标库中图标，基本图标旁都有文字介绍，清晰易懂。
","","","9"
"NONE9.2","用户手册介绍操作流程，部分操作有提示，部分操作可撤销
","用户手册","80","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:16","Requirement created.
NAME: <no entry> - 用户手册.
REQTEXT: 用户手册介绍操作流程，部分操作有提示，部分操作可撤销
","","","9"
